data item,class(s),nature,resolution time,aggregation(s),source,link(s),processed,require(s),job(s),team(s),rank,owner,added_by,info_further
price,system,forecast_st,hourly,AIES,"Oracle, EDWP","PLSQL,OLEDB / ODBC",0_EDWP,SQL,_,_,0,_,_,_
weather items (tbd),weather,forecast_st,hourly,AIES,"Oracle, EDWP","PLSQL,OLEDB / ODBC",0_EDWP,SQL,_,_,0,_,_,WFS.WEATHER_ALL_V
cost,transmission,benchmark,_,_,"Oracle, TASP","PLSQL,OLEDB / ODBC",0_TASP,SQL,_,_,0,_,_,_
cost,transmission,benchmark,_,_,Tableau server,http,1_TASP,tableau account,_,_,0,_,_,_
cost,transmission,estimate,_,_,TCE Dashboard,http,1_DFS,_,_,_,0,_,_,_
GIS,system,mapping,_,_,"Oracle, TASP","PLSQL,OLEDB / ODBC",0_TASP,SQL,_,_,0,_,_,_
GIS,system,mapping,_,_,"Oracle, TASP",TASMo,0_TASP,_,_,_,0,_,_,_
topology,system,mapping,_,_,"Oracle, TASP","PLSQL,OLEDB / ODBC",0_TASP,SQL,_,_,0,_,_,_
topology,system,mapping,_,_,"Oracle, TASP",TASMo,0_TASP,SQL,_,_,0,_,_,_
MPID-BUS,transmission,mapping,_,MPID,"Oracle, TASP","PLSQL,OLEDB / ODBC",0_TASP,SQL,_,_,0,_,_,_
MPID-substation,system,mapping,_,MPID,DFS folders,files,0_DFS,PDF,_,_,0,_,_,\\aeso.ca\dfs\Technical\te\01/01
MPID-substation,system,mapping,_,MPID,"Oracle, TASP","PLSQL,OLEDB / ODBC",0_TASP,SQL,_,_,0,_,_,_
MPID-substation,system,mapping,_,MPID,SPA Dashboard,http,mix,MPID,_,_,0,_,_,_
mix,_,project,_,_,DFS folders,files,0_DFS,RPID,_,_,0,_,Nima,\\aeso.ca\dfs\Technical\rp\05
mix,_,project,_,_,workfront ,workfront ,0_workfront,RPID,_,_,0,_,Nima,https://aesotransmission.my.workfront.com/
"F,I,V,Phase",_,pmu,30Hz,"feeder,bus",PRODPCU05,RDP,0_PMU,pmu,event_analysis,_,0,_,_,\\aeso.ca\applications\RTSync_PDC (SDC)
"F,I,V,Phase",_,pmu,event,"feeder,bus",SPA Dashboard,http,1_EDWP,pmu,event_analysis,_,0,_,_,_
